Threads,AverageFrameTime
1,2543.6
2,1418.52
3,960.219
4,795.44
5,644.91
6,539.151
7,482.174
8,417.692
9,404.535
10,396.43
11,377.899
12,351.352
13,340.205
14,330.454
15,312.413
16,295.094
17,304.792
18,279.301
19,281.957
20,269.708
21,259.011
22,254.92
23,247.212
24,243.677
25,246.773
26,243.558
27,245.05
28,238.902
29,237.013
30,235.882
31,244.95
32,251.542
33,252.476
34,254.965
35,252.809
36,251.855
37,249.115
38,250.48
39,250.305
40,251.5
41,245.592
42,247.89
43,246.747
44,246.44
45,247.003
46,246.43
47,246.837
48,243.079
49,245.429
50,245.914
51,245.218
52,246.049
53,247.514
54,244.683
55,246.638
56,246.744
57,245.77
58,245.846
59,246.15
60,245.967
61,245.914
62,245.645
63,245.753
64,244.955
65,244.92
66,248.36
67,248.446
68,248.334
69,243.694
70,244.603
71,243.069
72,245.63
73,246.449
74,245.238
75,246.529
76,246.428
77,248.634
78,246.694
79,246.444
80,243.852
81,245.024
82,244.614
83,246.103
84,245.721
85,245.782
86,245.894
87,248.271
88,249.842
89,247.956
90,247.996
91,249.28
92,251.478
93,249.198
94,251.292
95,250.287
96,247.609
97,248.121
98,248.23
99,249.801
100,250.121
101,250.018
102,249.384
103,250.503
104,249.419
105,252.45
106,252.18
107,252.141
108,253.617
109,253.633
110,253.42
111,255.302
112,257.207
113,259.9
114,255.644
115,256.514
116,257.813
117,257.016
118,256.168
119,256.542
120,254.215
121,252.976
122,254.082
123,253.985
124,254.836
125,255.239
126,254.896
127,256.937
128,256.421
